\u00a9,copyright,
\u00ae,registered,
\u203c\ufe0f,bangbang,
\u2049\ufe0f,interrobang,
\u2122,tm,
\u2139\ufe0f,information_source,
\u2194\ufe0f,left_right_arrow,
\u2195\ufe0f,arrow_up_down,
\u2196\ufe0f,arrow_upper_left,
\u2197\ufe0f,arrow_upper_right,
\u2198\ufe0f,arrow_lower_right,
\u2199\ufe0f,arrow_lower_left,
\u21a9\ufe0f,leftwards_arrow_with_hook,
\u21aa\ufe0f,arrow_right_hook,
\u231a\ufe0f,watch,
\u231b\ufe0f,hourglass,
\u23e9,fast_forward,
\u23ea,rewind,
\u23eb,arrow_double_up,
\u23ec,arrow_double_down,
\u23f0,alarm_clock,
\u23f3,hourglass_flowing_sand,
\u24c2\ufe0f,m,
\u25aa\ufe0f,black_small_square,
\u25ab\ufe0f,white_small_square,
\u25b6\ufe0f,arrow_forward,
\u25c0\ufe0f,arrow_backward,
\u25fb\ufe0f,white_medium_square,
\u25fc\ufe0f,black_medium_square,
\u25fd\ufe0f,white_medium_small_square,
\u25fe\ufe0f,black_medium_small_square,
\u2600\ufe0f,sunny,
\u2601\ufe0f,cloud,
\u260e\ufe0f,phone-telephone,
\u2611\ufe0f,ballot_box_with_check,
\u2614\ufe0f,umbrella,
\u2615\ufe0f,coffee,
\u261d\ufe0f,point_up,
\u263a\ufe0f,relaxed,
\u2648\ufe0f,aries,
\u2649\ufe0f,taurus,
\u264a\ufe0f,gemini,
\u264b\ufe0f,cancer,
\u264c\ufe0f,leo,
\u264d\ufe0f,virgo,
\u264e\ufe0f,libra,
\u264f\ufe0f,scorpius,
\u2650\ufe0f,sagittarius,
\u2651\ufe0f,capricorn,
\u2652\ufe0f,aquarius,
\u2653\ufe0f,pisces,
\u2660\ufe0f,spades,
\u2663\ufe0f,clubs,
\u2665\ufe0f,hearts,
\u2666\ufe0f,diamonds,
\u2668\ufe0f,hotsprings,
\u267b\ufe0f,recycle,
\u267f\ufe0f,wheelchair,
\u2693\ufe0f,anchor,
\u26a0\ufe0f,warning,
\u26a1\ufe0f,zap,
\u26aa\ufe0f,white_circle,
\u26ab\ufe0f,black_circle,
\u26bd\ufe0f,soccer,
\u26be\ufe0f,baseball,
\u26c4\ufe0f,snowman,
\u26c5\ufe0f,partly_sunny,
\u26ce,ophiuchus,
\u26d4\ufe0f,no_entry,
\u26ea\ufe0f,church,
\u26f2\ufe0f,fountain,
\u26f3\ufe0f,golf,
\u26f5\ufe0f,boat-sailboat,
\u26fa\ufe0f,tent,
